ticket_id,subject,message,category,hours_to_resolve,customer_tier
5001,Sync between devices is broken,Changes I make on desktop don't show up on my phone.,Technical,0.7,Pro
5002,Need to change delivery address,I need to update the shipping address before the order ships.,Shipping,8.7,Free
5003,Need a refund for last month,I cancelled my plan but was still billed for last month.,Billing,11.0,Enterprise
5004,Suggestion for a new feature,It would be great if you added dark mode to the settings.,General,1.3,Enterprise
5005,Update my username,I'd like to change the display name on my profile.,Account,1.1,Pro
5006,Page keeps loading forever,The dashboard page spins indefinitely and never finishes loading.,Technical,2.2,Pro
5007,Need a refund for last month,I cancelled my plan but was still billed for last month.,Billing,7.7,Free
5008,Partnership inquiry,I'm interested in exploring a partnership opportunity with your company.,General,9.5,Enterprise
5009,Missing item in my shipment,One of the items I ordered was missing from the box.,Shipping,10.9,Enterprise
5010,Need to change delivery address,I need to update the shipping address before the order ships.,Shipping,8.3,Enterprise
5011,Question about your privacy policy,Could you clarify how long user data is retained?,General,8.0,Free
5012,Two-factor authentication not working,My authenticator app codes are being rejected at login.,Account,1.7,Pro
5013,Page keeps loading forever,The dashboard page spins indefinitely and never finishes loading.,Technical,18.0,Pro
5014,Invoice total looks wrong,The invoice I received doesn't match the price shown at checkout.,Billing,2.6,Free
5015,Getting a 500 error on checkout,I get a server error whenever I try to complete my purchase.,Technical,17.4,Enterprise
5016,Order delivered to wrong address,My package was delivered to a neighbor's address by mistake.,Shipping,5.0,Enterprise
5017,Missing item in my shipment,One of the items I ordered was missing from the box.,Shipping,9.7,Free
5018,Duplicate charge on my card,"I was charged twice for the same order, can you refund one of them?",Billing,9.3,Enterprise
5019,App crashes on startup,The mobile app closes immediately every time I try to open it.,Technical,8.2,Free
5020,Update my username,I'd like to change the display name on my profile.,Account,5.3,Pro
5021,Need a refund for last month,I cancelled my plan but was still billed for last month.,Billing,15.9,Free
5022,Update my username,I'd like to change the display name on my profile.,Account,4.9,Pro
5023,Partnership inquiry,I'm interested in exploring a partnership opportunity with your company.,General,11.2,Pro
5024,Need to change delivery address,I need to update the shipping address before the order ships.,Shipping,8.0,Pro
5025,Update my username,I'd like to change the display name on my profile.,Account,13.1,Free
5026,Page keeps loading forever,The dashboard page spins indefinitely and never finishes loading.,Technical,1.8,Enterprise
5027,How do I contact support by phone,Is there a phone number I can call instead of emailing?,General,2.1,Enterprise
5028,Billing address needs updating,I moved recently and need to update the address on my invoices.,Billing,13.8,Free
5029,How do I contact support by phone,Is there a phone number I can call instead of emailing?,General,4.7,Free
5030,Question about subscription price,Why did my monthly subscription price change without notice?,Billing,4.0,Pro
5031,Duplicate charge on my card,"I was charged twice for the same order, can you refund one of them?",Billing,8.5,Free
5032,General feedback about the product,"Overall I really like the product, just wanted to share some thoughts.",General,1.5,Pro
5033,Need a refund for last month,I cancelled my plan but was still billed for last month.,Billing,20.0,Free
